species,grade,fb,fbneg,fv,fc,fcp,ftn,ftg,ftp,E
DF,24f-E,30.6,23,2,30.2,7,20.4,15.3,0.83,12800
DF,24f-EX,30.6,30.6,2,30.2,7,20.4,15.3,0.83,12800
DF,20f-E,25.6,29.2,2,30.2,7,20.4,15.3,0.83,12400
DF,20f-EX,25.6,25.6,2,30.2,7,20.4,15.3,0.83,12400
DF,18t-E,24.3,24.3,2,30.2,7,20.4,17.9,0.83,13800
DF,16c-E,14,14,2,30.2,7,20.4,15.3,0.83,12400
SPF,20f-E,25.6,19.2,1.75,25.2,5.8,17,12.7,0.51,10300
SPF,20f-EX,25.6,25.6,1.75,25.2,5.8,17,12.7,0.51,10300
SPF,14t-E,24.3,24.3,1.75,25.2,5.8,17.9,13.4,0.51,10700
SPF,12c-E,9.8,9.8,1.75,25.2,5.8,17,12.7,0.51,9700
HF,24f-E,30.6,23,1.75,-1,4.6,20.4,15.3,0.83,13100
HF,24f-EX,30.6,30.6,1.75,-1,7,20.4,15.3,0.83,13100
