type,EDI_Std_Nomenclature,d,bf,tw,tf,ho,r1,r2,dclear,k,k1,A,Ix,Iy,Ip,rx,ry,rp,Sx,Sy,Avx,Avy,J,Cw,Sw1,Zx,Zy,ZJ,Zxweb,Zyflange,W,Am
W,W1100x548,1138,410,31,55,1028,32,27.5,964,87,46,77740,16200000000,635000000,16835000000,457,90.4,465.9,28500000,3100000,40892,33206,57900000,1.86E+14,6.26E+08,3.30E+07,4.89E+06,2.50E+09,8.19E+06,4.62E+06,610.3,3.85
W,W1100x548,1128,407,28,50,1028,32,25,964,82,44,70250,14600000000,564000000,15164000000,455,89.6,463.7,25800000,2770000,36589,30072,43400000,1.64E+14,5.58E+08,2.97E+07,4.36E+06,2.23E+09,7.40E+06,4.14E+06,551.5,3.83
W,W1100x499,1118,405,26,45,1028,32,22.5,964,77,43,63500,12900000000,500000000,13400000000,451,88.7,459.6,23100000,2470000,32540,26936,31100000,1.44E+14,4.95E+08,2.66E+07,3.87E+06,1.98E+09,6.87E+06,3.69E+06,498.5,3.8
W,W1100x433,1108,402,22,40,1028,32,20,964,72,41,55100,11300000000,434000000,11734000000,452,88.7,460.6,20300000,2160000,28451,22903,21200000,1.24E+14,4.31E+08,2.32E+07,3.36E+06,1.73E+09,5.81E+06,3.23E+06,432.5,3.78
W,W1100x390,1100,400,20,36,1028,32,18,964,68,40,49700,10100000000,385000000,10485000000,450,88,458.5,18300000,1920000,25375,20668,15600000,1.09E+14,3.83E+08,2.08E+07,2.99E+06,1.53E+09,5.28E+06,2.88E+06,390.1,3.76
W,W1100x343,1090,400,18,31,1028,32,15.5,964,63,39,43600,8670000000,331000000,9001000000,446,87.1,454.4,15900000,1660000,21619,18187,10300000,9.29E+13,3.28E+08,1.81E+07,2.57E+06,1.31E+09,4.76E+06,2.48E+06,342.3,3.74
W,W1000x976,1108,428,50,89.9,928.2,31.1,45,866,121,55,124300,23500000000,1190000000,24690000000,435,97.7,445.8,42400000,5540000,73871,51588,244000000,3.07E+14,1.05E+09,5.43E+07,8.84E+06,4.19E+09,1.08E+07,8.23E+06,975.8,3.83
W,W1000x883,1092,424,45.5,82,928,32,41,864,114,53,112500,21000000000,1050000000,22050000000,432,96.6,442.7,38400000,4950000,65481,46446,185000000,2.68E+14,9.31E+08,4.53E+07,7.87E+06,3.72E+09,9.80E+06,7.37E+06,883.1,3.79
W,W1000x748,1068,417,39,70,928,32,35,864,102,50,95300,17300000000,851000000,18151000000,426,94.5,436.4,32400000,4080000,54040,38868,116000000,2.12E+14,7.59E+08,3.79E+07,6.46E+06,3.04E+09,8.40E+06,6.09E+06,748.1,3.73
W,W1000x642,1048,412,34,60,928,32,30,864,92,47,81800,14500000000,703000000,15203000000,421,92.7,431.1,27700000,3410000,45117,33397,73800000,1.72E+14,6.29E+08,3.21E+07,5.38E+06,2.52E+09,7.32E+06,5.09E+06,642.1,3.68
W,W1000x591,1040,409,31,55.9,928.2,31.1,27.9,866,87,46,75300,13300000000,640000000,13940000000,421,92.2,431,25600000,3130000,41433,30311,59000000,1.55E+14,5.75E+08,2.95E+07,4.92E+06,2.30E+09,6.68E+06,4.68E+06,591.1,3.65
W,W1000x584,1056,314,36,64,928,32,32,864,96,48,74400,12500000000,334000000,12834000000,409,67,414.5,23600000,2130000,38301,36250,71500000,8.22E+13,3.91E+08,2.80E+07,3.47E+06,1.56E+09,7.75E+06,3.16E+06,584,3.3
W,W1000x554,1032,408,29.5,52,928,32,26,864,84,45,70600,12300000000,591000000,12891000000,418,91.5,427.9,23900000,2900000,38253,28530,48300000,1.42E+14,5.30E+08,2.75E+07,4.55E+06,2.12E+09,6.35E+06,4.33E+06,554.2,3.64
W,W1000x539,1030,407,28.4,51.1,927.8,31.9,25.6,864,83,44,68700,12000000000,576000000,12576000000,418,91.6,427.9,23400000,2830000,37396,27435,45300000,1.38E+14,5.18E+08,2.68E+07,4.44E+06,2.07E+09,6.11E+06,4.23E+06,539.3,3.63
W,W1000x494,1036,309,31,54,928,32,27,864,86,46,62900,10300000000,268000000,10568000000,404,65.3,409.2,19800000,1740000,31142,30607,44000000,6.47E+13,3.16E+08,2.34E+07,2.82E+06,1.27E+09,6.67E+06,2.58E+06,493.8,3.25
W,W1000x486,1036,308,30,54.1,927.8,31.9,27.1,864,86,45,61900,10200000000,266000000,10466000000,406,65.5,411.2,19700000,1730000,31142,29549,42900000,6.41E+13,3.15E+08,2.32E+07,2.79E+06,1.26E+09,6.46E+06,2.57E+06,485.9,3.24
W,W1000x483,1020,404,25.4,46,928,32,23,864,78,43,61500,10700000000,507000000,11207000000,417,90.8,426.8,20900000,2510000,33189,24564,33100000,1.20E+14,4.57E+08,2.39E+07,3.92E+06,1.83E+09,5.47E+06,3.75E+06,482.8,3.61
W,W1000x443,1012,402,23.6,41.9,928.2,31.1,20.9,866,73,42,56400,9670000000,455000000,10125000000,414,89.8,423.6,19100000,2260000,29930,22630,25400000,1.07E+14,4.11E+08,2.18E+07,3.53E+06,1.64E+09,5.08E+06,3.39E+06,442.7,3.58
W,W1000x438,1026,305,26.9,49,928,32,24.5,864,81,43,55600,9090000000,234000000,9324000000,404,64.8,409.2,17700000,1530000,27732,26259,31800000,5.57E+13,2.78E+08,2.07E+07,2.46E+06,1.11E+09,5.79E+06,2.28E+06,436.5,3.22
W,W1000x415,1020,304,26,46,928,32,23,864,78,43,52800,8530000000,217000000,8747000000,402,64.1,407.1,16700000,1430000,25689,25230,27000000,5.15E+13,2.59E+08,1.96E+07,2.30E+06,1.04E+09,5.60E+06,2.13E+06,414.5,3.2
W,W1000x412,1008,402,21.1,40,928,32,20,864,72,41,52500,9100000000,434000000,9534000000,416,90.9,425.8,18100000,2160000,28453,20117,21400000,1.02E+14,3.91E+08,2.05E+07,3.35E+06,1.56E+09,4.54E+06,3.23E+06,412.1,3.58
W,W1000x393,1016,303,24.4,43.9,928.2,31.1,21.9,866,75,42,50100,8080000000,205000000,8285000000,402,64,407.1,15900000,1350000,24343,23693,23300000,4.84E+13,2.45E+08,1.85E+07,2.17E+06,9.79E+08,5.26E+06,2.02E+06,393.3,3.2
W,W1000x371,1000,400,19,36.1,927.8,31.9,18.1,864,68,40,47300,8140000000,386000000,8526000000,415,90.3,424.7,16300000,1930000,25425,18032,15900000,8.96E+13,3.48E+08,1.84E+07,2.98E+06,1.39E+09,4.09E+06,2.89E+06,371.3,3.56
W,W1000x350,1008,302,21.1,40,928,32,20,864,72,41,44600,7230000000,185000000,7415000000,403,64.4,408.1,14300000,1220000,21968,20306,17200000,4.32E+13,2.21E+08,1.66E+07,1.94E+06,8.83E+08,4.54E+06,1.82E+06,350.1,3.18
W,W1000x321,990,400,16.5,31,928,32,15.5,864,63,38,40800,6960000000,331000000,7291000000,413,90,422.7,14100000,1660000,21622,15478,10300000,7.61E+13,2.97E+08,1.58E+07,2.55E+06,1.19E+09,3.55E+06,2.48E+06,320.3,3.55
W,W1000x314,1000,300,19.1,35.9,928.2,31.1,17.9,866,67,40,40000,6440000000,162000000,6602000000,401,63.7,406,12900000,1080000,19259,18291,12600000,3.77E+13,1.95E+08,1.49E+07,1.71E+06,7.79E+08,4.11E+06,1.62E+06,314,3.16
W,W1000x296,982,400,16.5,27.1,927.8,31.9,13.6,864,59,38,37700,6200000000,290000000,6490000000,405,87.6,414.4,12600000,1450000,18883,15324,7640000,6.60E+13,2.59E+08,1.43E+07,2.24E+06,1.04E+09,3.55E+06,2.17E+06,295.9,3.53
W,W1000x272,990,300,16.5,31,928,32,15.5,864,63,38,34600,5540000000,140000000,5680000000,400,63.5,405,11200000,933000,16504,15611,8350000,3.22E+13,1.67E+08,1.28E+07,1.47E+06,6.69E+08,3.55E+06,1.40E+06,271.6,3.15
W,W1000x249,980,300,16.5,26,928,32,13,864,58,38,31700,4810000000,118000000,4928000000,390,60.9,394.7,9820000,783000,13843,15378,5820000,2.67E+13,1.40E+08,1.13E+07,1.24E+06,5.58E+08,3.55E+06,1.17E+06,248.8,3.13
W,W1000x222,970,300,16,21.1,927.8,31.9,10.6,864,53,38,28200,4080000000,95400000,4175400000,380,58.1,384.4,8410000,636000,11042,14730,3900000,2.15E+13,1.13E+08,9.80E+06,1.02E+06,4.50E+08,3.44E+06,9.50E+05,221.4,3.11
W,W920x1377,1093,473,76.7,115.1,862.8,31.9,57.5,799,147,68,175400,30300000000,2060000000,32360000000,416,108,429.8,55500000,8720000,106873,75409,596000000,4.93E+14,1.57E+09,6.76E+07,1.42E+07,6.30E+09,1.43E+07,1.29E+07,1376.9,3.92
W,W920x1269,1093,461,64,115.1,862.8,31.9,57.5,799,147,62,161700,29000000000,1900000000,30900000000,423,108,436.6,53000000,8240000,103784,63687,514000000,4.54E+14,1.50E+09,6.39E+07,1.31E+07,5.98E+09,1.19E+07,1.22E+07,1269.3,3.9
W,W920x1194,1081,457,60.5,109,863,32,54.5,799,141,60,152200,26900000000,1750000000,28650000000,421,107,434.4,49800000,7660000,96511,59387,435000000,4.13E+14,1.38E+09,5.98E+07,1.22E+07,5.53E+09,1.13E+07,1.14E+07,1194.8,3.87
W,W920x1077,1061,451,55,99.1,862.8,31.9,49.5,799,131,58,137200,23800000000,1530000000,25330000000,416,106,429.3,44800000,6770000,85727,53445,326000000,3.53E+14,1.21E+09,5.34E+07,1.07E+07,4.85E+09,1.02E+07,1.01E+07,1077,3.82
W,W920x970,1043,446,50,89.9,863.2,31.1,45,801,121,55,123700,21000000000,1340000000,22340000000,412,104,424.9,40300000,6000000,75888,47690,243000000,3.04E+14,1.07E+09,4.77E+07,9.49E+06,4.26E+09,9.31E+06,8.94E+06,971,3.77
W,W920x787,1011,437,40.9,73.9,863.2,31.1,37,801,105,50,100400,16500000000,1030000000,17530000000,405,102,417.6,32600000,4730000,59382,38170,134000000,2.27E+14,8.27E+08,3.80E+07,7.42E+06,3.31E+09,7.62E+06,7.06E+06,788.1,3.69
W,W920x725,999,434,38.1,68.1,862.8,31.9,34,799,100,49,92400,14900000000,932000000,15832000000,402,100,414.3,29900000,4290000,54205,34835,106000000,2.02E+14,7.46E+08,3.47E+07,6.73E+06,2.99E+09,7.09E+06,6.41E+06,725.3,3.66
W,W920x656,987,431,34.5,62,863,32,31,799,94,47,83700,13400000000,830000000,14230000000,400,99.7,412.2,27100000,3850000,48541,31523,79500000,1.78E+14,6.66E+08,3.13E+07,6.02E+06,2.66E+09,6.42E+06,5.76E+06,657,3.63
W,W920x588,975,427,31,55.9,863.2,31.1,27.9,801,87,46,75000,11800000000,728000000,12528000000,397,98.6,409.1,24200000,3410000,43097,27803,58100000,1.54E+14,5.85E+08,2.78E+07,5.31E+06,2.34E+09,5.77E+06,5.10E+06,588.8,3.6
W,W920x576,993,322,36.1,65,863,21,32.5,821,86,37,73320,11000000000,365000000,11365000000,388,70.6,394.4,22200000,2270000,39712,33757,71300000,7.86E+13,3.91E+08,2.63E+07,3.66E+06,1.56E+09,6.72E+06,3.37E+06,575.6,3.2
W,W920x537,965,425,28.4,51.1,862.8,31.9,25.6,799,83,44,68500,10700000000,656000000,11356000000,395,98,407,22100000,3080000,38963,25450,44500000,1.37E+14,5.27E+08,2.53E+07,4.79E+06,2.11E+09,5.29E+06,4.61E+06,537.7,3.57
W,W920x521,981,319,33,58.9,863.2,20.1,29.4,823,79,36,66370,9820000000,321000000,10141000000,385,69.6,391.2,20000000,2010000,35216,30643,53400000,6.83E+13,3.45E+08,2.36E+07,3.24E+06,1.38E+09,6.15E+06,3.00E+06,521,3.17
W,W920x491,957,422,25.9,47,863,32,23.5,799,79,43,62600,9660000000,590000000,10250000000,394,97.3,405.8,20200000,2800000,35334,22818,34400000,1.22E+14,4.76E+08,2.30E+07,4.34E+06,1.90E+09,4.82E+06,4.18E+06,491.4,3.55
W,W920x474,971,316,30,54.1,862.8,20.9,27.1,821,75,34,60390,8860000000,287000000,9147000000,383,68.9,389.1,18200000,1810000,31873,27638,41000000,6.02E+13,3.10E+08,2.14E+07,2.90E+06,1.24E+09,5.58E+06,2.70E+06,474.1,3.15
W,W920x449,948,423,24,42.7,862.6,31.3,21.4,800,74,42,57600,8750000000,540000000,9290000000,391,97.2,402.9,18500000,2550000,32020,20988,26300000,1.11E+14,4.32E+08,2.09E+07,3.95E+06,1.73E+09,4.46E+06,3.82E+06,452.2,3.54
W,W920x425,961,313,26.9,49,863,21,24.5,821,70,32,54200,7880000000,252000000,8132000000,381,68.2,387.1,16400000,1610000,28230,24526,30300000,5.24E+13,2.74E+08,1.91E+07,2.56E+06,1.09E+09,5.01E+06,2.40E+06,425.5,3.12
W,W920x420,943,422,22.5,39.9,863.2,31.1,19.9,801,71,41,53500,8130000000,501000000,8631000000,390,96.8,401.8,17300000,2370000,29726,19549,21500000,1.02E+14,4.01E+08,1.95E+07,3.67E+06,1.60E+09,4.19E+06,3.55E+06,420,3.53
W,W920x390,936,420,21.3,36.6,862.8,31.4,18.3,800,68,41,49700,7420000000,453000000,7873000000,387,95.7,398.7,15800000,2160000,27021,18360,16900000,9.15E+13,3.63E+08,1.79E+07,3.33E+06,1.45E+09,3.96E+06,3.23E+06,390.1,3.51
W,W920x381,951,310,24.4,43.9,863.2,31.1,21.9,801,75,42,48600,6960000000,219000000,7179000000,379,67.2,384.9,14600000,1410000,24743,21502,21800000,4.51E+13,2.39E+08,1.70E+07,2.24E+06,9.57E+08,4.55E+06,2.11E+06,381.5,3.09
W,W920x368,931,419,20.3,34.3,862.4,31.7,17.1,799,66,40,46800,6920000000,421000000,7341000000,386,95.1,397.5,14900000,2010000,25129,17349,14100000,8.47E+13,3.37E+08,1.68E+07,3.10E+06,1.35E+09,3.77E+06,3.01E+06,367.4,3.5
W,W920x345,943,308,22.1,39.9,863.2,31.1,19.9,801,71,41,44000,6250000000,195000000,6445000000,377,66.7,382.9,13300000,1270000,22147,19295,16400000,3.98E+13,2.14E+08,1.53E+07,2.00E+06,8.55E+08,4.12E+06,1.89E+06,345.4,3.07
W,W920x344,927,418,19.3,32,863,32,16,799,64,40,43900,6450000000,390000000,6840000000,384,94.5,395.5,13900000,1870000,23324,16400,11600000,7.81E+13,3.13E+08,1.57E+07,2.88E+06,1.25E+09,3.59E+06,2.80E+06,344.6,3.49
W,W920x313,932,309,21.1,34.5,863,31.5,17.3,800,66,41,39900,5480000000,170000000,5650000000,371,65.4,376.7,11800000,1100000,18948,18111,11500000,3.43E+13,1.85E+08,1.36E+07,1.75E+06,7.39E+08,3.93E+06,1.65E+06,313.2,3.06
W,W920x289,927,308,19.4,32,863,32,16,799,64,40,36800,5040000000,156000000,5196000000,370,65.3,375.7,10900000,1020000,17406,16488,9160000,3.13E+13,1.70E+08,1.25E+07,1.60E+06,6.79E+08,3.61E+06,1.52E+06,288.9,3.05
W,W920x271,923,307,18.4,30,863,32,15,799,62,39,34600,4710000000,145000000,4855000000,369,64.8,374.6,10200000,946000,16247,15530,7630000,2.89E+13,1.58E+08,1.18E+07,1.49E+06,6.31E+08,3.43E+06,1.41E+06,271.6,3.04
W,W920x253,919,306,17.3,27.9,863.2,31.1,13.9,801,59,39,32300,4370000000,134000000,4504000000,368,64.3,373.6,9510000,874000,15115,14565,6210000,2.65E+13,1.45E+08,1.09E+07,1.37E+06,5.82E+08,3.22E+06,1.31E+06,253.6,3.03
W,W920x238,915,305,16.5,25.9,863.2,31.1,12.9,801,57,38,30300,4060000000,123000000,4183000000,366,63.7,371.5,8870000,806000,13896,13781,5100000,2.43E+13,1.34E+08,1.02E+07,1.27E+06,5.36E+08,3.07E+06,1.20E+06,237.9,3.02
W,W920x223,911,304,15.9,23.9,863.2,31.1,11.9,801,55,38,28500,3760000000,112000000,3872000000,363,62.7,368.4,8260000,738000,12647,13142,4180000,2.21E+13,1.22E+08,9.52E+06,1.16E+06,4.90E+08,2.96E+06,1.10E+06,223.7,3.01
W,W920x201,903,304,15.2,20.1,862.8,31.9,10.1,799,52,38,25600,3250000000,94400000,3344400000,356,60.7,361.1,7190000,621000,10600,12319,2880000,1.84E+13,1.03E+08,8.34E+06,9.82E+05,4.10E+08,2.83E+06,9.29E+05,201,2.99
W,W840x576,913,411,32,57.9,797.2,31.1,28.9,735,89,46,73500,10100000000,672000000,10772000000,371,95.7,383.1,22200000,3270000,43138,26731,61700000,1.23E+14,5.23E+08,2.56E+07,5.10E+06,2.09E+09,5.08E+06,4.89E+06,577,3.41
W,W840x527,903,409,29.5,53.1,796.8,31.9,26.6,733,85,45,67200,9150000000,607000000,9757000000,369,95,381,20300000,2970000,39088,24435,47800000,1.10E+14,4.72E+08,2.33E+07,4.62E+06,1.89E+09,4.68E+06,4.44E+06,527.5,3.38
W,W840x473,893,406,26.4,48,797,32,24,733,80,43,60300,8130000000,537000000,8667000000,367,94.3,378.9,18200000,2640000,34893,21635,35100000,9.58E+13,4.18E+08,2.08E+07,4.10E+06,1.67E+09,4.19E+06,3.96E+06,473.4,3.36
W,W840x433,885,404,24.4,43.9,797.2,31.1,21.9,735,75,42,55200,7360000000,484000000,7844000000,365,93.5,376.8,16600000,2390000,31608,19850,27000000,8.55E+13,3.77E+08,1.89E+07,3.71E+06,1.51E+09,3.88E+06,3.58E+06,433.3,3.34
W,W840x392,877,401,22.1,39.9,797.2,31.1,19.9,735,71,41,49900,6600000000,430000000,7030000000,363,92.7,374.6,15000000,2140000,28353,17853,20300000,7.53E+13,3.36E+08,1.70E+07,3.31E+06,1.34E+09,3.51E+06,3.21E+06,391.7,3.31
W,W840x359,868,403,21.1,35.6,796.8,31.4,17.8,734,67,41,45700,5920000000,389000000,6309000000,359,92.1,370.6,13600000,1930000,25196,16817,15100000,6.74E+13,3.01E+08,1.54E+07,2.98E+06,1.20E+09,3.35E+06,2.89E+06,358.7,3.31
W,W840x329,862,401,19.7,32.4,797.2,31.6,16.2,734,64,40,41900,5360000000,349000000,5709000000,357,91.1,368.4,12400000,1740000,22751,15553,11600000,6.00E+13,2.70E+08,1.40E+07,2.69E+06,1.08E+09,3.13E+06,2.60E+06,328.9,3.29
W,W840x299,855,400,18.2,29.2,796.6,31.8,14.6,733,61,39,38100,4800000000,312000000,5112000000,355,90.4,366.3,11200000,1560000,20342,14180,8660000,5.32E+13,2.41E+08,1.27E+07,2.41E+06,9.65E+08,2.89E+06,2.34E+06,299.1,3.27
W,W840x251,859,292,17,31,797,32,15.5,733,63,39,31900,3860000000,129000000,3989000000,348,63.6,353.8,9000000,884000,16059,13303,7350000,2.21E+13,1.37E+08,1.03E+07,1.38E+06,5.47E+08,2.70E+06,1.32E+06,250.4,2.85
W,W840x226,851,294,16.1,26.8,797.4,31.2,13.4,735,58,38,28800,3400000000,114000000,3514000000,343,62.8,348.7,7990000,774000,13905,12470,5140000,1.93E+13,1.19E+08,9.16E+06,1.21E+06,4.77E+08,2.56E+06,1.16E+06,226.1,2.85
W,W840x210,846,293,15.4,24.4,797.2,31.6,12.2,734,56,38,26800,3110000000,103000000,3213000000,340,61.8,345.6,7340000,700000,12622,11805,4050000,1.73E+13,1.08E+08,8.43E+06,1.10E+06,4.30E+08,2.45E+06,1.05E+06,210.4,2.83
W,W840x193,840,292,14.7,21.7,796.6,31.3,10.8,734,53,37,24700,2780000000,90300000,2870300000,336,60.5,341.4,6630000,618000,11040,11078,3050000,1.51E+13,9.46E+07,7.62E+06,9.71E+05,3.79E+08,2.33E+06,9.25E+05,193.9,2.82
W,W840x176,835,292,14,18.8,797.4,31.2,9.4,735,50,37,22400,2460000000,78200000,2538200000,331,59.1,336.2,5900000,536000,9501,10396,2220000,1.30E+13,8.18E+07,6.81E+06,8.44E+05,3.27E+08,2.23E+06,8.01E+05,175.8,2.81
