type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W,W44X408,W44X408,T,408,120,44.8,44.75,16.1,16.13,1.22,1.25,0.63,2.17,2.19,2.96,3.38,1.81,3.71,31.9,38700,2000,1730,18,1520,297,189,3.56,134,691000,172,1500,344,994,4.33,42.6,134,150,106,122,38,5.5,3
W,W44X368,W44X368,F,368,108,44.4,44.38,16,16,1.1,1.13,0.56,1.97,2,2.76,3.19,1.75,4.06,35.4,34700,1800,1560,17.9,1350,265,169,3.54,100,608000,170,1340,311,894,4.28,42.4,133,149,105,121,38,5.5,3
W,W44X335,W44X335,F,335,98.5,44,44,15.9,16,1.03,1,0.5,1.77,1.75,2.56,3,1.75,4.5,38,31100,1620,1410,17.8,1200,236,150,3.49,74.7,535000,168,1180,278,805,4.24,42.2,132,148,104,120,38,5.5,3
W,W44X290,W44X290,F,290,85.4,43.6,43.63,15.8,15.88,0.87,0.88,0.44,1.58,1.56,2.36,2.81,1.63,5.02,45,27000,1410,1240,17.8,1040,205,132,3.49,50.9,461000,166,1040,248,701,4.2,42,131,147,103,119,38,5.5,3
W,W44X262,W44X262,F,262,77.2,43.3,43.25,15.8,15.75,0.79,0.81,0.44,1.42,1.44,2.2,2.63,1.63,5.57,49.6,24100,1270,1110,17.7,923,182,117,3.47,37.3,405000,165,928,223,630,4.17,41.9,131,147,102,118,38,5.5,3
W,W44X230,W44X230,F,230,67.8,42.9,42.88,15.8,15.75,0.71,0.69,0.38,1.22,1.25,2.01,2.44,1.56,6.45,54.8,20800,1100,971,17.5,796,157,101,3.43,24.9,346000,165,793,192,547,4.13,41.7,130,146,102,118,38,5.5,3
W,W40X655,W40X655,T,655,193,43.6,43.63,16.9,16.88,1.97,2,1,3.54,3.56,4.72,4.81,2.19,2.39,17.3,56500,3080,2590,17.1,2870,542,340,3.86,589,1150000,169,2530,529,1530,4.71,40.1,132,149,104,121,34,7.5,3
W,W40X593,W40X593,T,593,174,43,43,16.7,16.75,1.79,1.81,0.94,3.23,3.25,4.41,4.5,2.13,2.58,19.1,50400,2760,2340,17,2520,481,302,3.8,445,997000,166,2240,479,1370,4.63,39.8,130,147,103,120,34,7.5,3
W,W40X503,W40X503,T,503,148,42.1,42,16.4,16.38,1.54,1.56,0.81,2.76,2.75,3.94,4,2,2.98,22.3,41600,2320,1980,16.8,2040,394,249,3.72,277,789000,161,1830,403,1150,4.5,39.3,129,145,101,117,34,7.5,3
W,W40X431,W40X431,T,431,127,41.3,41.25,16.2,16.25,1.34,1.31,0.69,2.36,2.38,3.54,3.63,1.88,3.44,25.5,34800,1960,1690,16.6,1690,328,208,3.65,177,638000,158,1510,341,969,4.41,38.9,127,143,98.8,115,34,7.5,3
W,W40X397,W40X397,T,397,117,41,41,16.1,16.13,1.22,1.25,0.63,2.2,2.19,3.38,3.5,1.81,3.66,28,32000,1800,1560,16.6,1540,300,191,3.64,142,579000,156,1380,318,891,4.38,38.8,126,142,98.1,114,34,7.5,3
W,W40X372,W40X372,T,372,110,40.6,40.63,16.1,16.13,1.16,1.19,0.63,2.05,2.06,3.23,3.31,1.81,3.93,29.5,29600,1680,1460,16.5,1420,277,177,3.6,116,528000,155,1280,295,829,4.33,38.6,125,141,97.3,113,34,7.5,3
W,W40X362,W40X362,T,362,106,40.6,40.5,16,16,1.12,1.13,0.56,2.01,2,3.19,3.25,1.75,3.99,30.5,28900,1640,1420,16.5,1380,270,173,3.6,109,513000,154,1240,289,808,4.33,38.6,125,141,97.2,113,34,7.5,3
W,W40X324,W40X324,F,324,95.3,40.2,40.13,15.9,15.88,1,1,0.5,1.81,1.81,2.99,3.06,1.69,4.4,34.2,25600,1460,1280,16.4,1220,239,153,3.58,79.4,448000,153,1100,259,720,4.27,38.4,124,140,96.3,112,34,7.5,3
W,W40X297,W40X297,F,297,87.3,39.8,39.88,15.8,15.88,0.93,0.94,0.5,1.65,1.63,2.83,2.94,1.69,4.8,36.8,23200,1330,1170,16.3,1090,215,138,3.54,61.2,399000,151,982,234,652,4.22,38.2,123,139,95.4,111,34,7.5,3
W,W40X277,W40X277,F,277,81.5,39.7,39.75,15.8,15.88,0.83,0.81,0.44,1.58,1.56,2.76,2.88,1.63,5.03,41.2,21900,1250,1100,16.4,1040,204,132,3.58,51.5,379000,151,940,225,614,4.25,38.1,123,139,95.2,111,34,7.5,3
W,W40X249,W40X249,F,249,73.5,39.4,39.38,15.8,15.75,0.75,0.75,0.38,1.42,1.44,2.6,2.69,1.56,5.55,45.6,19600,1120,993,16.3,926,182,118,3.55,38.1,334000,150,841,203,551,4.21,38,122,138,94.6,110,34,7.5,3
W,W40X215,W40X215,F,215,63.5,39,39,15.8,15.75,0.65,0.63,0.31,1.22,1.25,2.4,2.5,1.56,6.45,52.6,16700,964,859,16.2,803,156,101,3.54,24.8,284000,149,719,175,473,4.19,37.8,122,138,93.8,110,34,7.5,3
W,W40X199,W40X199,F,199,58.8,38.7,38.63,15.8,15.75,0.65,0.63,0.31,1.07,1.06,2.25,2.31,1.56,7.39,52.6,14900,869,770,16,695,137,88.2,3.45,18.3,246000,149,628,153,427,4.12,37.6,121,137,93.2,109,34,7.5,3
W,W40X392,W40X392,T,392,116,41.6,41.63,12.4,12.38,1.42,1.44,0.75,2.52,2.5,3.7,3.81,1.94,2.45,24.1,29900,1710,1440,16.1,803,212,130,2.64,172,306000,121,946,270,848,3.3,39.1,116,128,95.6,108,34,7.5,
W,W40X331,W40X331,T,331,97.7,40.8,40.75,12.2,12.13,1.22,1.25,0.63,2.13,2.13,3.31,3.38,1.81,2.86,28,24700,1430,1210,15.9,644,172,106,2.57,105,241000,118,766,226,706,3.21,38.7,114,126,93.8,106,34,7.5,
W,W40X327,W40X327,T,327,95.9,40.8,40.75,12.1,12.13,1.18,1.19,0.63,2.13,2.13,3.31,3.38,1.81,2.85,29,24500,1410,1200,16,640,170,105,2.58,103,239000,117,754,225,695,3.21,38.7,114,126,93.7,106,34,7.5,
W,W40X294,W40X294,F,294,86.2,40.4,40.38,12,12,1.06,1.06,0.56,1.93,1.94,3.11,3.19,1.75,3.11,32.2,21900,1270,1080,15.9,562,150,93.5,2.55,76.6,208000,115,668,203,622,3.16,38.5,113,125,92.8,105,34,7.5,
W,W40X278,W40X278,F,278,82.3,40.2,40.13,12,12,1.03,1,0.5,1.81,1.81,2.99,3.06,1.75,3.31,33.3,20500,1190,1020,15.8,521,140,87.1,2.52,65,192000,115,622,190,587,3.13,38.4,112,124,92.4,104,34,7.5,
W,W40X264,W40X264,F,264,77.4,40,40,11.9,11.88,0.96,0.94,0.5,1.73,1.75,2.91,3,1.69,3.45,35.6,19400,1130,971,15.8,493,132,82.6,2.52,56.1,181000,114,589,182,555,3.12,38.3,112,124,91.9,104,34,7.5,
W,W40X235,W40X235,F,235,69.1,39.7,39.75,11.9,11.88,0.83,0.81,0.44,1.58,1.56,2.76,2.88,1.63,3.77,41.2,17400,1010,875,15.9,444,118,74.6,2.54,41.3,161000,113,530,166,495,3.11,38.1,111,123,91.3,103,34,7.5,
W,W40X211,W40X211,F,211,62.1,39.4,39.38,11.8,11.75,0.75,0.75,0.38,1.42,1.44,2.6,2.69,1.56,4.17,45.6,15500,906,786,15.8,390,105,66.1,2.51,30.4,141000,112,468,148,442,3.07,38,110,122,90.6,102,34,7.5,
W,W40X183,W40X183,F,183,53.3,39,39,11.8,11.75,0.65,0.63,0.31,1.2,1.19,2.38,2.5,1.56,4.92,52.6,13200,774,675,15.7,331,88.3,56,2.49,19.3,118000,112,395,126,376,3.04,37.8,110,122,89.8,102,34,7.5,
W,W40X167,W40X167,F,167,49.3,38.6,38.63,11.8,11.75,0.65,0.63,0.31,1.03,1,2.21,2.31,1.56,5.76,52.6,11600,693,600,15.3,283,76,47.9,2.4,14,99700,111,336,107,336,2.98,37.6,109,121,89,101,34,7.5,
W,W40X149,W40X149,F,149,43.8,38.2,38.25,11.8,11.75,0.63,0.63,0.31,0.83,0.81,2.01,2.13,1.5,7.11,54.3,9800,598,513,15,229,62.2,38.8,2.29,9.36,80000,110,270,86.7,288,2.89,37.4,108,120,88.2,100,34,7.5,
W,W36X925,W36X925,T,925,272,43.1,43.13,18.6,18.63,3.02,3,1.5,4.53,4.5,5.28,5.38,2.31,2.05,10.8,73000,4130,3390,16.4,4940,862,531,4.26,1430,1840000,179,3780,681,2060,5.3,38.6,134,153,105,124,32.38,7.5,3
W,W36X853,W36X853,T,853,251,43.1,43.13,18.2,18.25,2.52,2.5,1.25,4.53,4.5,5.28,5.38,2.06,2.01,12.9,70000,3920,3250,16.7,4600,805,505,4.28,1240,1710000,175,3620,685,1950,5.22,38.6,135,153,104,122,32.38,7.5,3
W,W36X802,W36X802,T,802,236,42.6,42.63,18,18,2.38,2.38,1.19,4.29,4.31,5.04,5.13,2,2.1,13.7,64800,3660,3040,16.6,4210,744,468,4.22,1050,1540000,172,3330,642,1820,5.15,38.3,133,151,103,121,32.38,7.5,3
W,W36X723,W36X723,T,723,213,41.8,41.75,17.8,17.75,2.17,2.19,1.13,3.9,3.88,4.65,4.69,1.88,2.28,15,57300,3270,2740,16.4,3700,658,416,4.17,785,1330000,169,2930,578,1630,5.06,37.9,131,149,101,119,32.38,7.5,3
W,W36X652,W36X652,T,652,192,41.1,41,17.6,17.63,1.97,2,1,3.54,3.56,4.49,4.81,2.19,2.48,16.3,50600,2910,2460,16.2,3230,581,367,4.1,593,1130000,165,2560,518,1450,4.96,37.6,129,147,99.8,117,31.38,7.5,3
W,W36X529,W36X529,T,529,156,39.8,39.75,17.2,17.25,1.61,1.63,0.81,2.91,2.94,3.86,4.19,2,2.96,19.9,39600,2330,1990,16,2490,454,289,4,327,846000,159,1990,419,1160,4.8,36.9,127,144,96.8,114,31.38,7.5,3
W,W36X487,W36X487,T,487,143,39.3,39.38,17.1,17.13,1.5,1.5,0.75,2.68,2.69,3.63,4,1.88,3.19,21.4,36000,2130,1830,15.8,2250,412,263,3.96,258,754000,157,1800,383,1060,4.74,36.6,125,142,95.7,113,31.38,7.5,3
W,W36X441,W36X441,T,441,130,38.9,38.88,17,17,1.36,1.38,0.69,2.44,2.44,3.39,3.75,1.88,3.48,23.6,32100,1910,1650,15.7,1990,368,235,3.92,194,661000,154,1600,347,950,4.69,36.5,124,141,94.8,112,31.38,7.5,3
W,W36X395,W36X395,T,395,116,38.4,38.38,16.8,16.88,1.22,1.25,0.63,2.2,2.19,3.15,3.44,1.81,3.83,26.3,28500,1710,1490,15.7,1750,325,208,3.88,142,575000,152,1410,311,847,4.61,36.2,123,140,93.6,110,31.38,7.5,3
W,W36X361,W36X361,T,361,106,38,38,16.7,16.75,1.12,1.13,0.56,2.01,2,2.96,3.31,1.75,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,150,1270,282,767,4.58,36,122,139,92.7,109,31.38,7.5,3
