Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Ix,Zx,Zx,Sx,Sx,rx,Iy,Iy,Zy,Zy,Sy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W1100X607,W1100X607,607,77400,1140,1140,,,,409,410,,,,31,31.8,15.9,55.1,55.6,,,,75.2,85.7,46,,,,,,3.71,,,31.9,,,16100,16100000000,32800,32800000,28300,28300000,457,633,633000000,4870,4870000,3100,3100000,90.4,,,,55800000,1.86E+14,,111000,624000000,,,5640000,16300000,,,,,,,,,,,,,,,,,110,1080,3400,,3810,2690,3100,965,140,76.2
W,W1100X548,W1100X548,548,69700,1130,1130,,,,406,406,,,,27.9,28.6,14.3,50,50.8,,,,70.1,81,44.5,,,,,,4.06,,,35.4,,,14400,14400000000,29500,29500000,25600,25600000,455,562,562000000,4340,4340000,2770,2770000,89.9,,,,41600000,1.63E+14,,110000,558000000,,,5100000,14700000,,,,,,,,,,,,,,,,,109,1080,3380,,3780,2670,3070,965,140,76.2
W,W1100X499,W1100X499,499,63500,1120,1120,,,,404,406,,,,26.2,25.4,12.7,45,44.4,,,,65,76.2,44.5,,,,,,4.5,,,38,,,12900,12900000000,26500,26500000,23100,23100000,452,499,499000000,3870,3870000,2460,2460000,88.6,,,,31100000,1.44E+14,,108000,491000000,,,4560000,13200000,,,,,,,,,,,,,,,,,108,1070,3350,,3760,2640,3050,965,140,76.2
W,W1100X433,W1100X433,433,55100,1110,1110,,,,401,403,,,,22,22.2,11.1,40.1,39.7,,,,59.9,71.4,41.3,,,,,,5.02,,,45,,,11200,11200000000,23100,23100000,20300,20300000,452,433,433000000,3360,3360000,2160,2160000,88.6,,,,21200000,1.24E+14,,107000,433000000,,,4060000,11500000,,,,,,,,,,,,,,,,,107,1070,3330,,3730,2620,3020,965,140,76.2
W,W1100X390,W1100X390,390,49800,1100,1100,,,,401,400,,,,19.9,20.6,11.1,36.1,36.5,,,,55.9,66.7,41.3,,,,,,5.57,,,49.6,,,10000,10000000000,20800,20800000,18200,18200000,450,384,384000000,2980,2980000,1920,1920000,88.1,,,,15500000,1.09E+14,,106000,386000000,,,3650000,10300000,,,,,,,,,,,,,,,,,106,1060,3330,,3730,2590,3000,965,140,76.2
W,W1100X343,W1100X343,343,43700,1090,1090,,,,401,400,,,,18,17.5,9.52,31,31.8,,,,51.1,61.9,39.7,,,,,,6.45,,,54.8,,,8660,8660000000,18000,18000000,15900,15900000,445,331,331000000,2570,2570000,1660,1660000,87.1,,,,10400000,9.29E+13,,106000,330000000,,,3150000,8960000,,,,,,,,,,,,,,,,,105,1060,3300,,3710,2590,3000,965,140,76.2
W,W1000X976,W1000X976,976,125000,1110,1110,,,,429,429,,,,50,50.8,25.4,89.9,90.5,,,,120,122,55.6,,,,,,2.39,,,17.3,,,23500,23500000000,50500,50500000,42500,42500000,434,1190,1190000000,8880,8880000,5570,5570000,98,,,,245000000,3.09E+14,,109000,1050000000,,,8670000,25100000,,,,,,,,,,,,,,,,,120,1020,3350,,3780,2640,3070,864,191,76.2
W,W1000X883,W1000X883,883,112000,1090,1090,,,,424,425,,,,45.5,46,23.8,82,82.6,,,,112,114,54,,,,,,2.58,,,19.1,,,21000,21000000000,45200,45200000,38300,38300000,432,1050,1050000000,7880,7880000,4950,4950000,96.5,,,,185000000,2.68E+14,,107000,932000000,,,7850000,22500000,,,,,,,,,,,,,,,,,118,1010,3300,,3730,2620,3050,864,191,76.2
W,W1000X748,W1000X748,748,95500,1070,1070,,,,417,416,,,,39.1,39.7,20.6,70.1,69.8,,,,100,102,50.8,,,,,,2.98,,,22.3,,,17300,17300000000,38000,38000000,32400,32400000,427,849,849000000,6460,6460000,4080,4080000,94.5,,,,115000000,2.12E+14,,104000,762000000,,,6600000,18800000,,,,,,,,,,,,,,,,,114,998,3280,,3680,2570,2970,864,191,76.2
W,W1000X642,W1000X642,642,81900,1050,1050,,,,411,413,,,,34,33.3,17.5,59.9,60.3,,,,89.9,92.1,47.6,,,,,,3.44,,,25.5,,,14500,14500000000,32100,32100000,27700,27700000,422,703,703000000,5370,5370000,3410,3410000,92.7,,,,73700000,1.71E+14,,102000,629000000,,,5590000,15900000,,,,,,,,,,,,,,,,,112,988,3230,,3630,2510,2920,864,191,76.2
