Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS863.6X254X25.4,HSS863.6X254X25.4,412,49200,864,792,,254,183,25.4,23.6,7.75,33.6,,4000,12300,9260,284,558,5030,4390,106,1680000,9090
HSS,HSS863.6X254X22.2,HSS863.6X254X22.2,364,43400,864,803,,254,192,22.2,20.7,9.29,38.8,,3580,10900,8290,287,504,4490,3970,108,1510000,8100
HSS,HSS863.6X254X19.0,HSS863.6X254X19.0,315,37500,864,810,,254,201,19.1,17.7,11.3,45.7,,3140,9540,7280,290,445,3930,3520,109,1330000,7060
HSS,HSS863.6X254X15.9,HSS863.6X254X15.9,266,31500,864,820,,254,210,15.9,14.8,14.2,55.5,,2680,8080,6190,292,385,3360,3030,110,1130000,5980
HSS,HSS762X254X25.4,HSS762X254X25.4,372,44300,762,691,,254,183,25.4,23.6,7.75,29.3,,2870,9930,7540,254,491,4470,3880,105,1440000,7980
HSS,HSS762X254X22.2,HSS762X254X22.2,329,39200,762,701,,254,192,22.2,20.7,9.29,33.9,,2580,8850,6770,257,445,4010,3520,107,1290000,7110
HSS,HSS762X254X19.0,HSS762X254X19.0,285,33900,762,709,,254,201,19.1,17.7,11.3,40,,2260,7720,5950,259,396,3520,3110,108,1140000,6210
HSS,HSS762X254X15.9,HSS762X254X15.9,240,28600,762,719,,254,210,15.9,14.8,14.2,48.6,,1930,6550,5080,259,341,3000,2690,109,970000,5260
HSS,HSS762X254X12.7,HSS762X254X12.7,194,23100,762,726,,254,219,12.7,11.8,18.5,61.5,,1590,5340,4160,262,283,2440,2230,111,795000,4290
HSS,HSS609.6X508X19.0,HSS609.6X508X19.0,315,37500,610,556,,508,455,19.1,17.7,25.7,31.4,,2060,8010,6770,234,1560,7080,6150,204,2810000,10300
HSS,HSS609.6X508X15.9,HSS609.6X508X15.9,266,31500,610,566,,508,465,15.9,14.8,31.4,38.3,,1760,6770,5750,236,1330,5980,5230,205,2370000,8650
HSS,HSS609.6X508X12.7,HSS609.6X508X12.7,214,25500,610,574,,508,472,12.7,11.8,40,48.6,,1440,5510,4700,237,1090,4870,4280,207,1920000,7000
HSS,HSS609.6X508X9.5,HSS609.6X508X9.5,162,19300,610,584,,508,483,9.53,8.86,54.3,65.8,,1100,4200,3610,239,832,3700,3280,208,1460000,5310
HSS,HSS609.6X508X7.9,HSS609.6X508X7.9,136,16200,610,587,,508,485,7.95,7.39,65.7,79.5,,928,3520,3050,240,703,3110,2770,209,1230000,4460
HSS,HSS609.6X457.2X19.0,HSS609.6X457.2X19.0,300,35700,610,556,,457,404,19.1,17.7,22.8,31.4,,1910,7470,6260,231,1220,6150,5360,185,2370000,9210
HSS,HSS609.6X457.2X15.9,HSS609.6X457.2X15.9,253,30100,610,566,,457,414,15.9,14.8,28,38.3,,1620,6330,5330,232,1040,5210,4570,186,2000000,7750
HSS,HSS609.6X457.2X12.7,HSS609.6X457.2X12.7,204,24300,610,574,,457,422,12.7,11.8,35.7,48.6,,1330,5150,4360,234,857,4230,3750,188,1630000,6280
HSS,HSS609.6X457.2X9.5,HSS609.6X457.2X9.5,155,18400,610,584,,457,432,9.53,8.86,48.6,65.8,,1020,3930,3340,235,658,3230,2880,189,1240000,4770
HSS,HSS609.6X457.2X7.9,HSS609.6X457.2X7.9,130,15400,610,587,,457,434,7.95,7.39,58.9,79.5,,857,3290,2820,236,554,2720,2430,190,1040000,4000
HSS,HSS609.6X406.4X19.0,HSS609.6X406.4X19.0,285,33900,610,556,,406,353,19.1,17.7,19.9,31.4,,1750,6950,5740,227,937,5260,4600,166,1950000,8130
HSS,HSS609.6X406.4X15.9,HSS609.6X406.4X15.9,240,28600,610,566,,406,363,15.9,14.8,24.5,38.3,,1490,5880,4880,228,799,4460,3930,167,1650000,6870
HSS,HSS609.6X406.4X12.7,HSS609.6X406.4X12.7,194,23100,610,574,,406,371,12.7,11.8,31.4,48.6,,1220,4790,4000,230,658,3640,3230,169,1340000,5570
HSS,HSS609.6X406.4X9.5,HSS609.6X406.4X9.5,147,17500,610,584,,406,381,9.53,8.86,42.8,65.8,,937,3650,3080,232,504,2770,2490,170,1020000,4230
HSS,HSS609.6X406.4X7.9,HSS609.6X406.4X7.9,123,14600,610,587,,406,384,7.95,7.39,52,79.5,,791,3080,2590,232,429,2340,2100,171,862000,3560
HSS,HSS609.6X355.6X19.0,HSS609.6X355.6X19.0,270,32100,610,556,,356,302,19.1,17.7,17.1,31.4,,1590,6410,5210,223,691,4420,3880,147,1550000,7060
HSS,HSS609.6X355.6X15.9,HSS609.6X355.6X15.9,228,27000,610,566,,356,312,15.9,14.8,21.1,38.3,,1360,5440,4460,224,591,3750,3330,148,1320000,5960
HSS,HSS609.6X355.6X12.7,HSS609.6X355.6X12.7,184,21900,610,574,,356,320,12.7,11.8,27.1,48.6,,1120,4420,3650,226,487,3060,2740,149,1070000,4850
HSS,HSS609.6X355.6X9.5,HSS609.6X355.6X9.5,140,16600,610,584,,356,330,9.53,8.86,37.1,65.8,,857,3390,2800,227,375,2340,2110,150,820000,3690
HSS,HSS609.6X355.6X7.9,HSS609.6X355.6X7.9,117,13900,610,587,,356,333,7.95,7.39,45.1,79.5,,724,2850,2380,228,318,1970,1790,151,691000,3100
HSS,HSS609.6X355.6X6.4,HSS609.6X355.6X6.4,94.1,11200,610,592,,356,338,6.35,5.92,57.1,100,,587,2290,1920,229,258,1600,1450,152,558000,2490
HSS,HSS609.6X304.8X25.4,HSS609.6X304.8X25.4,331,39500,610,538,,305,234,25.4,23.6,9.9,22.8,,1810,7520,5930,214,608,4620,3980,124,1510000,7730
