Name,Finish,Lam,N Lams,b,d,A,Ix,Sx,rx,Iy,Sy,ry,Volume 
DF 76x108,Arch,Single,3,76,108,8208,7978176,147744,31,3950784,103968,21.93931023,8208
DF 76x146,Arch,Single,4,76,146,11096,19710195,270003,42,5340875,140549,21.93931091,11096
DF 76x184,Arch,Single,5,76,184,13984,39453525,428843,53.11622454,6730965,177131,21.93930969,13984
DF 76x222,Arch,Single,6,76,222,16872,69293304,624264,64,8121056,213712,21.93931023,16872
DF 76x260,Arch,Single,7,76,260,19760,111314667,856267,75,9511147,250293,21.93931061,19760
DF 76x298,Arch,Single,8,76,298,22648,167602749,1124851,86,10901237,286875,21.93930989,22648
DF 76x336,Arch,Single,9,76,336,25536,240242688,1430016,97,12291328,323456,21.93931023,25536
DF 76x374,Arch,Single,10,76,374,28424,331319619,1771763,108,13681419,360037,21.9393105,28424
DF 76x412,Arch,Single,11,76,412,31312,442918677,2150091,119,15071509,396619,21.93930999,31312
DF 76x450,Arch,Single,12,76,450,34200,577125000,2565000,130,16461600,433200,21.93931023,34200
DF 76x488,Arch,Single,13,76,488,37088,736023723,3016491,141,17851691,469781,21.93931043,37088
DF 76x526,Arch,Single,14,76,526,39976,921699981,3504563,152,19241781,506363,21.93931004,39976
DF 76x564,Arch,Single,15,76,564,42864,1136238912,4029216,163,20631872,542944,21.93931023,42864
DF 76x602,Arch,Single,16,76,602,45752,1381725651,4590451,174,22021963,579525,21.9393104,45752
DF 76x640,Arch,Single,17,76,640,48640,1660245333,5188267,185,23412053,616107,21.93931007,48640
DF 76x678,Arch,Single,18,76,678,51528,1973883096,5822664,196,24802144,652688,21.93931023,51528
DF 76x716,Arch,Single,19,76,716,54416,2324724075,6493643,207,26192235,689269,21.93931037,54416
DF 76x754,Arch,Single,20,76,754,57304,2714853405,7201203,218,27582325,725851,21.9393101,57304
DF 76x792,Arch,Single,21,76,792,60192,3146356224,7945344,229,28972416,762432,21.93931023,60192
DF 76x830,Arch,Single,22,76,830,63080,3621317667,8726067,240,30362507,799013,21.93931035,63080
DF 76x868,Arch,Single,23,76,868,65968,4141822869,9543371,251,31752597,835595,21.93931011,65968
DF 76x906,Arch,Single,24,76,906,68856,4709956968,10397256,262,33142688,872176,21.93931023,68856
DF 76x944,Arch,Single,25,76,944,71744,5327805099,11287723,273,34532779,908757,21.93931034,71744
DF 76x982,Arch,Single,26,76,982,74632,5997452397,12214771,283,35922869,945339,21.93931013,74632
DF 76x1020,Arch,Single,27,76,1020,77520,6720984000,13178400,294,37312960,981920,21.93931023,77520
DF 76x1058,Arch,Single,28,76,1058,80408,7500485043,14178611,305,38703051,1018501,21.93931032,80408
DF 76x1096,Arch,Single,29,76,1096,83296,8338040661,15215403,316,40093141,1055083,21.93931014,83296
DF 76x1134,Arch,Single,30,76,1134,86184,9235735992,16288776,327,41483232,1091664,21.93931023,86184
DF 76x1172,Arch,Single,31,76,1172,89072,10195656171,17398731,338,42873323,1128245,21.93931031,89072
DF 76x1210,Arch,Single,32,76,1210,91960,11219886333,18545267,349,44263413,1164827,21.93931015,91960
DF 76x1248,Arch,Single,33,76,1248,94848,12310511616,19728384,360,45653504,1201408,21.93931023,94848
DF 76x1286,Arch,Single,34,76,1286,97736,13469617155,20948083,371,47043595,1237989,21.93931031,97736
DF 76x1324,Arch,Single,35,76,1324,100624,14699288085,22204363,382,48433685,1274571,21.93931015,100624
