type,EDI_Std_Nomenclature,d,h,b,t,ro,ri,d,A,Ix,Iy,rx,ry,Sx,Sy,Avy,Avx,J,Jstv,Jwarp,Sj,Cw,Zx,Zy,W,Am
HSS,HSS610x305x25,609.6,609.6,304.8,25.4,50.8,25.4,508,42200,1910000000,639000000,213,123,6270000,4190000,9576,27526,1600000000,9076800,1590923200,7320900,3.03E+12,7990000,4900000,331.3,1.74
HSS,HSS610x305x22,609.6,609.6,304.8,22.2,44.5,22.2,520.7,37400,1720000000,580000000,215,124,5650000,3800000,8485,24148,1440000000,6161200,1433838800,6617870,2.73E+12,7150000,4390000,293.6,1.75
HSS,HSS610x305x19,609.6,609.6,304.8,19.1,38.1,19.1,533.4,32500,1520000000,514000000,216,126,4990000,3380000,7324,20849,1260000000,3925500,1256074500,5856890,2.41E+12,6260000,3860000,255.1,1.76
HSS,HSS508x305x25,508,508,304.8,25.4,50.8,25.4,406.4,37000,1200000000,538000000,180,121,4740000,3530000,10349,22375,1240000000,7966800,1232033200,5997940,1.04E+12,5980000,4180000,290.5,1.54
HSS,HSS508x305x22,508,508,304.8,22.2,44.5,22.2,419.1,32900,1090000000,489000000,182,122,4290000,3210000,9142,19827,1120000000,5417100,1114582900,5433950,9.44E+11,5360000,3760000,258.3,1.55
HSS,HSS508x305x19,508,508,304.8,19.1,38.1,19.1,431.8,28600,965000000,435000000,184,123,3800000,2860000,7907,17059,982000000,3457300,978542700,4819590,8.34E+11,4710000,3300000,224.5,1.56
HSS,HSS508x305x16,508,508,304.8,15.9,31.8,15.9,444.5,24100,831000000,376000000,186,125,3270000,2470000,6645,14292,838000000,2030500,835969500,4156760,7.16E+11,4020000,2820000,189.2,1.57
HSS,HSS406x305x22,406.4,406.4,304.8,22.2,44.5,22.2,317.5,28400,626000000,399000000,149,119,3080000,2620000,9918,15315,807000000,4673000,802327000,4250970,1.74E+11,3810000,3120000,222.9,1.35
HSS,HSS406x305x19,406.4,406.4,304.8,19.1,38.1,19.1,330.2,24700,557000000,356000000,150,120,2740000,2340000,8562,13183,711000000,2989000,708011000,3782920,1.54E+11,3350000,2750000,193.9,1.36
HSS,HSS406x305x16,406.4,406.4,304.8,15.9,31.8,15.9,342.9,20900,482000000,309000000,152,122,2370000,2030000,7202,11050,608000000,1759200,606240800,3273300,1.32E+11,2870000,2360000,164.1,1.37
HSS,HSS406x305x13,406.4,406.4,304.8,12.7,25.4,12.7,355.6,17000,400000000,257000000,153,123,1970000,1690000,5803,8887,499000000,914200,498085800,2716960,1.08E+11,2360000,1940000,133.4,1.38
HSS,HSS356x254x19,355.6,355.6,254,19.1,38.1,19.1,279.4,20800,348000000,205000000,129,99.2,1960000,1620000,6945,11593,428000000,2520700,425479300,2650940,91195830000,2430000,1920000,163.3,1.15
HSS,HSS356x254x16,355.6,355.6,254,15.9,31.8,15.9,292.1,17700,303000000,179000000,131,101,1700000,1410000,5831,9712,368000000,1488000,366512000,2309700,79011860000,2090000,1660000,138.9,1.16
HSS,HSS356x254x13,355.6,355.6,254,12.7,25.4,12.7,304.8,14400,253000000,150000000,132,102,1420000,1180000,4706,7810,304000000,775400,303224600,1930160,65406640000,1730000,1370000,113,1.18
HSS,HSS305x203x16,304.8,304.8,203.2,15.9,31.8,15.9,241.3,14500,174000000,92200000,110,79.8,1140000,907000,4519,8325,200000000,1216700,198783300,1509890,42353190000,1430000,1080000,113.8,0.961
HSS,HSS305x203x13,304.8,304.8,203.2,12.7,25.4,12.7,254,11800,147000000,78200000,111,81.2,964000,769000,3663,6731,167000000,636700,166363300,1274410,35573370000,1190000,897000,92.6,0.972
HSS,HSS305x203x9.5,304.8,304.8,203.2,9.5,19.1,9.5,266.7,9090,116000000,62100000,113,82.7,762000,611000,2782,5075,130000000,275000,129725000,1008520,27866450000,926000,701000,71.4,0.983
HSS,HSS305x203x7.9,304.8,304.8,203.2,7.9,15.9,7.9,273,7650,99300000,53200000,114,83.4,652000,524000,2331,4257,110000000,160800,109839200,862800,23678420000,786000,596000,60.1,0.989
HSS,HSS305x203x6.4,304.8,304.8,203.2,6.3,12.7,6.3,279.4,6190,81500000,43800000,115,84.3,535000,431000,1880,3422,89700000,83100,89616900,708470,19292230000,640000,486000,48.6,0.994
HSS,HSS305x152x16,304.8,304.8,152.4,15.9,31.8,15.9,241.3,12900,141000000,46500000,105,60.1,922000,610000,2938,8589,119000000,1081100,117918900,1071510,55191250000,1190000,729000,101.3,0.86
HSS,HSS305x152x13,304.8,304.8,152.4,12.7,25.4,12.7,254,10600,119000000,40000000,106,61.5,784000,524000,2401,6838,100000000,567300,99432700,915110,47317770000,999000,613000,83.2,0.871
HSS,HSS305x152x9.5,304.8,304.8,152.4,9.5,19.1,9.5,266.7,8120,95100000,32200000,108,62.9,624000,422000,1839,5221,79000000,245700,78754300,732420,37734730000,783000,482000,63.7,0.882
HSS,HSS305x152x7.9,304.8,304.8,152.4,7.9,15.9,7.9,273,6850,81600000,27700000,109,63.7,535000,364000,1540,4374,67400000,143900,67256100,630080,32321390000,666000,411000,53.8,0.887
HSS,HSS305x152x6.4,304.8,304.8,152.4,6.3,12.7,6.3,279.4,5540,67100000,23000000,110,64.4,440000,301000,1252,3509,55100000,74500,55025500,520200,26528720000,544000,337000,43.5,0.893
HSS,HSS254x203x16,254,254,203.2,15.9,31.8,15.9,190.5,12900,111000000,78000000,92.8,77.9,872000,767000,4800,6763,153000000,1081100,151918900,1231490,8394580000,1080000,925000,101.3,0.86
HSS,HSS254x203x13,254,254,203.2,12.7,25.4,12.7,203.2,10600,94000000,66400000,94.4,79.3,740000,654000,3881,5427,127000000,567300,126432700,1044120,7023510000,903000,774000,83.2,0.871
HSS,HSS254x203x9.5,254,254,203.2,9.5,19.1,9.5,215.9,8120,74800000,53000000,96,80.8,589000,522000,2949,4112,99600000,245700,99354300,829880,5464670000,707000,607000,63.7,0.882
HSS,HSS254x203x7.9,254,254,203.2,7.9,15.9,7.9,222.2,6850,64200000,45500000,96.8,81.6,505000,448000,2470,3448,84600000,143900,84456100,711500,4624950000,602000,517000,53.8,0.887
HSS,HSS254x203x6.4,254,254,203.2,6.3,12.7,6.3,228.6,5540,52800000,37500000,97.6,82.3,416000,369000,1988,2768,69000000,74500,68925500,585470,3753190000,491000,422000,43.5,0.893
HSS,HSS254x152x16,254,254,152.4,15.9,31.8,15.9,190.5,11200,87800000,38900000,88.3,58.8,691000,511000,3173,6963,91900000,945500,90954500,873860,18884530000,888000,619000,87.9,0.758
HSS,HSS254x152x13,254,254,152.4,12.7,25.4,12.7,203.2,9260,75200000,33600000,90.1,60.3,592000,442000,2583,5624,77700000,497900,77202100,749740,16290930000,747000,522000,72.7,0.769
HSS,HSS254x152x9.5,254,254,152.4,9.5,19.1,9.5,215.9,7150,60400000,27200000,91.9,61.7,475000,357000,1978,4276,61400000,216400,61183600,602700,13042610000,589000,413000,56.1,0.78
HSS,HSS254x152x7.9,254,254,152.4,7.9,15.9,7.9,222.2,6040,52000000,23500000,92.8,62.4,409000,309000,1661,3582,52400000,126900,52273100,519600,11186040000,502000,353000,47.4,0.786
HSS,HSS254x152x6.4,254,254,152.4,6.3,12.7,6.3,228.6,4900,42900000,19500000,93.6,63.1,338000,256000,1342,2873,42900000,65800,42834200,429900,9190030000,411000,290000,38.5,0.791
HSS,HSS254x152x4.8,254,254,152.4,4.8,9.6,4.8,234.9,3730,33300000,15200000,94.5,63.8,262000,200000,1018,2171,33000000,28400,32971600,334590,7091300000,317000,224000,29.3,0.796
HSS,HSS203x152x16,203.2,203.2,152.4,15.9,31.8,15.9,139.7,9640,49600000,31400000,71.7,57.1,488000,412000,3454,5365,65900000,809900,65090100,676500,3445380000,623000,509000,75.7,0.657
HSS,HSS203x152x13,203.2,203.2,152.4,12.7,25.4,12.7,152.4,7970,43000000,27300000,73.4,58.6,423000,359000,2801,4349,56000000,428600,55571400,584540,2993800000,528000,432000,62.6,0.668
HSS,HSS203x152x9.5,203.2,203.2,152.4,9.5,19.1,9.5,165.1,6180,34800000,22300000,75.1,60,343000,292000,2150,3292,44400000,187100,44212900,473060,2400410000,420000,344000,48.5,0.678
HSS,HSS203x152x7.9,203.2,203.2,152.4,7.9,15.9,7.9,171.4,5230,30200000,19300000,75.9,60.8,297000,253000,1798,2776,38000000,110000,37890000,409160,2056950000,359000,295000,41.1,0.684
HSS,HSS203x152x6.4,203.2,203.2,152.4,6.3,12.7,6.3,177.8,4250,25000000,16100000,76.7,61.5,246000,211000,1457,2222,31200000,57100,31142900,339620,1687320000,295000,243000,33.4,0.689
HSS,HSS203x152x4.8,203.2,203.2,152.4,4.8,9.6,4.8,184.1,3250,19500000,12600000,77.5,62.2,192000,165000,1107,1680,24100000,24700,24075300,265150,1299630000,228000,188000,25.5,0.695
HSS,HSS203x102x13,203.2,203.2,101.6,12.7,25.4,12.7,152.4,6680,31300000,10200000,68.4,39.1,308000,201000,1524,4510,26700000,359200,26340800,356290,5371260000,405000,246000,52.4,0.566
HSS,HSS203x102x9.5,203.2,203.2,101.6,9.5,19.1,9.5,165.1,5210,25800000,8570000,70.3,40.5,254000,169000,1187,3440,21700000,157800,21542200,295350,4520660000,326000,199000,40.9,0.577
HSS,HSS203x102x7.9,203.2,203.2,101.6,7.9,15.9,7.9,171.4,4430,22500000,7530000,71.2,41.3,221000,148000,1003,2889,18800000,93000,18707000,258420,3958180000,281000,172000,34.8,0.582
HSS,HSS203x102x6.4,203.2,203.2,101.6,6.3,12.7,6.3,177.8,3610,18800000,6350000,72.2,42,185000,125000,815,2325,15600000,48500,15551500,216920,3311350000,232000,143000,28.3,0.588
HSS,HSS203x102x4.8,203.2,203.2,101.6,4.8,9.6,4.8,184.1,2760,14700000,5030000,73.1,42.7,145000,99000,622,1746,12100000,21000,12079000,171210,2595320000,180000,111000,21.7,0.593
HSS,HSS178x127x13,177.8,177.8,127,12.7,25.4,12.7,127,6680,26400000,15500000,62.9,48.1,297000,244000,2274,3795,33300000,359200,32940800,403770,1732100000,378000,298000,52.4,0.566
HSS,HSS178x127x9.5,177.8,177.8,127,9.5,19.1,9.5,139.7,5210,21700000,12800000,64.6,49.6,244000,202000,1732,2884,26800000,157800,26642200,331500,1425500000,303000,240000,40.9,0.577
HSS,HSS178x127x7.9,177.8,177.8,127,7.9,15.9,7.9,146,4430,18900000,11200000,65.4,50.3,213000,177000,1461,2418,23000000,93000,22907000,288710,1234560000,261000,207000,34.8,0.582
HSS,HSS178x127x6.4,177.8,177.8,127,6.3,12.7,6.3,152.4,3610,15800000,9400000,66.2,51.1,178000,148000,1183,1950,19000000,48500,18951500,241270,1021980000,216000,171000,28.3,0.588
HSS,HSS178x127x4.8,177.8,177.8,127,4.8,9.6,4.8,158.7,2760,12400000,7410000,67.1,51.8,140000,117000,900,1475,14700000,21000,14679000,189610,793190000,168000,133000,21.7,0.593
HSS,HSS152x102x13,152.4,152.4,101.6,12.7,25.4,12.7,101.6,5390,14700000,7670000,52.2,37.7,193000,151000,1735,3246,17500000,289800,17210200,255650,874090000,252000,189000,42.3,0.464
HSS,HSS152x102x9.5,152.4,152.4,101.6,9.5,19.1,9.5,114.3,4240,12400000,6510000,54,39.2,162000,128000,1336,2495,14400000,128500,14271500,214490,751130000,206000,155000,33.3,0.475
HSS,HSS152x102x7.9,152.4,152.4,101.6,7.9,15.9,7.9,120.6,3620,10900000,5760000,54.9,39.9,143000,113000,1129,2091,12500000,76000,12424000,188740,661770000,178000,134000,28.4,0.481
HSS,HSS152x102x6.4,152.4,152.4,101.6,6.3,12.7,6.3,127,2960,9190000,4880000,55.7,40.6,121000,96200,913,1684,10400000,39800,10360200,159300,555830000,148000,112000,23.2,0.486
HSS,HSS152x102x4.8,152.4,152.4,101.6,4.8,9.6,4.8,133.3,2280,7280000,3890000,56.5,41.3,95600,76600,697,1276,8150000,17300,8132700,126400,436620000,116000,87800,17.9,0.492
HSS,HSS152x102x3.2,152.4,152.4,101.6,3.2,6.4,3.2,139.7,1550,5100000,2740000,57.4,42.1,66900,53900,470,857,5620000,5200,5614800,88680,301880000,80200,60800,12.2,0.497
HSS,HSS152x76x13,152.4,152.4,76.2,12.7,25.4,12.7,101.6,4750,11500000,3710000,49.3,28,152000,97300,1107,3269,9960000,255100,9704900,174540,1051340000,207000,124000,37.3,0.414
HSS,HSS152x76x9.5,152.4,152.4,76.2,9.5,19.1,9.5,114.3,3760,9890000,3240000,51.3,29.4,130000,85000,864,2530,8450000,113800,8336200,150350,956220000,171000,104000,29.5,0.424
