type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Ix,Zx,Zx,Sx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS863.6X254X25.4,HSS863.6X254X25.4,412,49200,864,792,,254,183,25.4,23.6,7.75,33.6,,4000,4000000000,12300,12300000,9260,9260000,284,558000000,5030000,4390000,106,1680000000,9090000
HSS,HSS863.6X254X22.2,HSS863.6X254X22.2,364,43400,864,803,,254,192,22.2,20.7,9.29,38.8,,3580,3580000000,10900,10900000,8290,8290000,287,504000000,4490000,3970000,108,1510000000,8100000
HSS,HSS863.6X254X19.0,HSS863.6X254X19.0,315,37500,864,810,,254,201,19.1,17.7,11.3,45.7,,3140,3140000000,9540,9540000,7280,7280000,290,445000000,3930000,3520000,109,1330000000,7060000
HSS,HSS863.6X254X15.9,HSS863.6X254X15.9,266,31500,864,820,,254,210,15.9,14.8,14.2,55.5,,2680,2680000000,8080,8080000,6190,6190000,292,385000000,3360000,3030000,110,1130000000,5980000
HSS,HSS762X254X25.4,HSS762X254X25.4,372,44300,762,691,,254,183,25.4,23.6,7.75,29.3,,2870,2870000000,9930,9930000,7540,7540000,254,491000000,4470000,3880000,105,1440000000,7980000
HSS,HSS762X254X22.2,HSS762X254X22.2,329,39200,762,701,,254,192,22.2,20.7,9.29,33.9,,2580,2580000000,8850,8850000,6770,6770000,257,445000000,4010000,3520000,107,1290000000,7110000
HSS,HSS762X254X19.0,HSS762X254X19.0,285,33900,762,709,,254,201,19.1,17.7,11.3,40,,2260,2260000000,7720,7720000,5950,5950000,259,396000000,3520000,3110000,108,1140000000,6210000
HSS,HSS762X254X15.9,HSS762X254X15.9,240,28600,762,719,,254,210,15.9,14.8,14.2,48.6,,1930,1930000000,6550,6550000,5080,5080000,259,341000000,3000000,2690000,109,970000000,5260000
HSS,HSS762X254X12.7,HSS762X254X12.7,194,23100,762,726,,254,219,12.7,11.8,18.5,61.5,,1590,1590000000,5340,5340000,4160,4160000,262,283000000,2440000,2230000,111,795000000,4290000
HSS,HSS609.6X508X19.0,HSS609.6X508X19.0,315,37500,610,556,,508,455,19.1,17.7,25.7,31.4,,2060,2060000000,8010,8010000,6770,6770000,234,1560000000,7080000,6150000,204,2810000000,10300000
HSS,HSS609.6X508X15.9,HSS609.6X508X15.9,266,31500,610,566,,508,465,15.9,14.8,31.4,38.3,,1760,1760000000,6770,6770000,5750,5750000,236,1330000000,5980000,5230000,205,2370000000,8650000
