type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W,W1100X607,W1100X607,T,607,77400,1140,1140,409,410,31,31.8,15.9,55.1,55.6,75.2,85.7,46,3.71,31.9,16100000000,32800000,28300000,457,633000000,4870000,3100000,90.4,55800000,1.86E+14,111000,624000000,5640000,16300000,110,1080,3400,3810,2690,3100,965,140,76.2
W,W1100X548,W1100X548,F,548,69700,1130,1130,406,406,27.9,28.6,14.3,50,50.8,70.1,81,44.5,4.06,35.4,14400000000,29500000,25600000,455,562000000,4340000,2770000,89.9,41600000,1.63E+14,110000,558000000,5100000,14700000,109,1080,3380,3780,2670,3070,965,140,76.2
W,W1100X499,W1100X499,F,499,63500,1120,1120,404,406,26.2,25.4,12.7,45,44.4,65,76.2,44.5,4.5,38,12900000000,26500000,23100000,452,499000000,3870000,2460000,88.6,31100000,1.44E+14,108000,491000000,4560000,13200000,108,1070,3350,3760,2640,3050,965,140,76.2
W,W1100X433,W1100X433,F,433,55100,1110,1110,401,403,22,22.2,11.1,40.1,39.7,59.9,71.4,41.3,5.02,45,11200000000,23100000,20300000,452,433000000,3360000,2160000,88.6,21200000,1.24E+14,107000,433000000,4060000,11500000,107,1070,3330,3730,2620,3020,965,140,76.2
W,W1100X390,W1100X390,F,390,49800,1100,1100,401,400,19.9,20.6,11.1,36.1,36.5,55.9,66.7,41.3,5.57,49.6,10000000000,20800000,18200000,450,384000000,2980000,1920000,88.1,15500000,1.09E+14,106000,386000000,3650000,10300000,106,1060,3330,3730,2590,3000,965,140,76.2
W,W1100X343,W1100X343,F,343,43700,1090,1090,401,400,18,17.5,9.52,31,31.8,51.1,61.9,39.7,6.45,54.8,8660000000,18000000,15900000,445,331000000,2570000,1660000,87.1,10400000,9.29E+13,106000,330000000,3150000,8960000,105,1060,3300,3710,2590,3000,965,140,76.2
W,W1000X976,W1000X976,T,976,125000,1110,1110,429,429,50,50.8,25.4,89.9,90.5,120,122,55.6,2.39,17.3,23500000000,50500000,42500000,434,1190000000,8880000,5570000,98,245000000,3.09E+14,109000,1050000000,8670000,25100000,120,1020,3350,3780,2640,3070,864,191,76.2
W,W1000X883,W1000X883,T,883,112000,1090,1090,424,425,45.5,46,23.8,82,82.6,112,114,54,2.58,19.1,21000000000,45200000,38300000,432,1050000000,7880000,4950000,96.5,185000000,2.68E+14,107000,932000000,7850000,22500000,118,1010,3300,3730,2620,3050,864,191,76.2
W,W1000X748,W1000X748,T,748,95500,1070,1070,417,416,39.1,39.7,20.6,70.1,69.8,100,102,50.8,2.98,22.3,17300000000,38000000,32400000,427,849000000,6460000,4080000,94.5,115000000,2.12E+14,104000,762000000,6600000,18800000,114,998,3280,3680,2570,2970,864,191,76.2
W,W1000X642,W1000X642,T,642,81900,1050,1050,411,413,34,33.3,17.5,59.9,60.3,89.9,92.1,47.6,3.44,25.5,14500000000,32100000,27700000,422,703000000,5370000,3410000,92.7,73700000,1.71E+14,102000,629000000,5590000,15900000,112,988,3230,3630,2510,2920,864,191,76.2
W,W1000X591,W1000X591,T,591,75500,1040,1040,409,410,31,31.8,15.9,55.9,55.6,85.9,88.9,46,3.66,28,13300000000,29500000,25600000,422,641000000,4920000,3130000,92.5,59100000,1.55E+14,101000,574000000,5210000,14600000,111,986,3200,3610,2490,2900,864,191,76.2
W,W1000X554,W1000X554,T,554,71000,1030,1030,409,410,29.5,30.2,15.9,52.1,52.4,82,84.1,46,3.93,29.5,12300000000,27500000,23900000,419,591000000,4540000,2900000,91.4,48300000,1.42E+14,100000,533000000,4830000,13600000,110,980,3180,3580,2470,2870,864,191,76.2
W,W1000X539,W1000X539,T,539,68400,1030,1030,406,406,28.4,28.6,14.3,51.1,50.8,81,82.6,44.5,3.99,30.5,12000000000,26900000,23300000,419,574000000,4420000,2830000,91.4,45400000,1.38E+14,99400,516000000,4740000,13200000,110,980,3180,3580,2470,2870,864,191,76.2
W,W1000X483,W1000X483,F,483,61500,1020,1020,404,403,25.4,25.4,12.7,46,46,75.9,77.8,42.9,4.4,34.2,10700000000,23900000,21000000,417,508000000,3920000,2510000,90.9,33000000,1.20E+14,98700,458000000,4240000,11800000,108,975,3150,3560,2450,2840,864,191,76.2
W,W1000X443,W1000X443,F,443,56300,1010,1010,401,403,23.6,23.8,12.7,41.9,41.3,71.9,74.6,42.9,4.8,36.8,9660000000,21800000,19200000,414,454000000,3520000,2260000,89.9,25500000,1.07E+14,97400,409000000,3830000,10700000,107,970,3120,3530,2420,2820,864,191,76.2
W,W1000X412,W1000X412,F,412,52600,1010,1010,401,403,21.1,20.6,11.1,40.1,39.7,70.1,73,41.3,5.03,41.2,9120000000,20500000,18000000,417,433000000,3340000,2160000,90.9,21400000,1.02E+14,97400,391000000,3690000,10100000,108,968,3120,3530,2420,2820,864,191,76.2
W,W1000X371,W1000X371,F,371,47400,1000,1000,401,400,19.1,19,9.52,36.1,36.5,66,68.3,39.7,5.55,45.6,8160000000,18400000,16300000,414,385000000,2980000,1930000,90.2,15900000,8.97E+13,96800,350000000,3330000,9030000,107,965,3100,3510,2400,2790,864,191,76.2
W,W1000X321,W1000X321,F,321,41000,991,991,401,400,16.5,15.9,7.94,31,31.8,61,63.5,39.7,6.45,52.6,6950000000,15800000,14100000,411,334000000,2560000,1660000,89.9,10300000,7.63E+13,96100,299000000,2870000,7750000,106,960,3100,3510,2380,2790,864,191,76.2
W,W1000X296,W1000X296,F,296,37900,983,981,401,400,16.5,15.9,7.94,27.2,27,57.2,58.7,39.7,7.39,52.6,6200000000,14200000,12600000,406,289000000,2250000,1450000,87.6,7620000,6.61E+13,96100,261000000,2510000,7000000,105,955,3070,3480,2370,2770,864,191,76.2
W,W1000X584,W1000X584,T,584,74800,1060,1060,315,314,36.1,36.5,19,64,63.5,94,96.8,49.2,2.45,24.1,12400000000,28000000,23600000,409,334000000,3470000,2130000,67.1,71600000,8.22E+13,78100,394000000,4420000,13900000,83.8,993,2950,3250,2430,2740,864,191,
